,date,rate_change,tgt_rate
0,2012-01-25,0.0,0.25
1,2012-03-13,0.0,0.25
2,2012-04-25,0.0,0.25
3,2012-06-20,0.0,0.25
4,2012-08-01,0.0,0.25
5,2012-09-13,0.0,0.25
6,2012-10-24,0.0,0.25
7,2012-12-12,0.0,0.25
8,2013-01-30,0.0,0.25
9,2013-03-20,0.0,0.25
10,2013-05-01,0.0,0.25
11,2013-06-19,0.0,0.25
12,2013-07-31,0.0,0.25
13,2013-09-18,0.0,0.25
14,2013-10-30,0.0,0.25
15,2013-12-18,0.0,0.25
16,2014-01-29,0.0,0.25
17,2014-03-19,0.0,0.25
18,2014-04-30,0.0,0.25
19,2014-06-18,0.0,0.25
20,2014-07-30,0.0,0.25
21,2014-09-17,0.0,0.25
22,2014-10-29,0.0,0.25
23,2014-12-17,0.0,0.25
24,2015-01-28,0.0,0.25
25,2015-03-18,0.0,0.25
26,2015-04-29,0.0,0.25
27,2015-06-17,0.0,0.25
28,2015-07-29,0.0,0.25
29,2015-09-17,0.0,0.25
30,2015-10-28,0.0,0.25
31,2015-12-16,0.25,0.5
32,2016-01-27,0.0,0.5
33,2016-03-16,0.0,0.5
34,2016-04-27,0.0,0.5
35,2016-06-15,0.0,0.5
36,2016-07-27,0.0,0.5
37,2016-09-21,0.0,0.5
38,2016-11-02,0.0,0.5
39,2016-12-14,0.25,0.75
40,2017-02-01,0.0,0.75
41,2017-03-15,0.25,1.0
42,2017-05-03,0.0,1.0
43,2017-06-14,0.25,1.25
44,2017-07-26,0.0,1.25
45,2017-09-20,0.0,1.25
46,2017-11-01,0.0,1.25
47,2017-12-13,0.25,1.5
48,2018-01-31,0.0,1.5
49,2018-03-21,0.25,1.75
50,2018-05-02,0.0,1.75
51,2018-06-13,0.25,2.0
52,2018-08-01,0.0,2.0
53,2018-09-26,0.25,2.25
54,2018-11-08,0.0,2.25
55,2018-12-19,0.25,2.5
56,2019-01-30,0.0,2.5
57,2019-03-20,0.0,2.5
58,2019-05-01,0.0,2.5
59,2019-06-19,0.0,2.5
60,2019-07-31,-0.25,2.25
61,2019-09-18,-0.25,2.0
62,2019-10-30,-0.25,1.75
63,2019-12-11,0.0,1.75
64,2020-01-29,0.0,1.75
65,2020-03-03,-0.5,1.25
66,2020-03-15,-1.0,0.25
67,2020-04-29,0.0,0.25
68,2020-06-10,0.0,0.25
69,2020-07-29,0.0,0.25
70,2020-09-16,0.0,0.25
71,2020-11-05,0.0,0.25
72,2020-12-16,0.0,0.25
73,2021-01-27,0.0,0.25
74,2021-03-17,0.0,0.25
75,2021-04-28,0.0,0.25
76,2021-06-16,0.0,0.25
77,2021-07-28,0.0,0.25
78,2021-09-22,0.0,0.25
79,2021-11-03,0.0,0.25
80,2021-12-15,0.0,0.25
81,2022-01-26,0.0,0.25
82,2022-03-16,0.25,0.5
83,2022-05-04,0.5,1.0
84,2022-06-15,0.75,1.75
85,2022-07-27,0.75,2.5
86,2022-09-21,0.75,3.25
87,2022-11-02,0.75,4.0
88,2022-12-14,0.5,4.5
89,2023-02-01,0.25,4.75
90,2023-03-22,0.25,5.0
91,2023-05-03,0.25,5.25
92,2023-06-14,0.0,5.25
93,2023-07-26,0.25,5.5
94,2023-09-20,0.0,5.5
95,2023-11-01,0.0,5.5
96,2023-12-13,0.0,5.5
97,2024-01-31,0.0,5.5
98,2024-03-20,0.0,5.5
99,2024-05-01,0.0,5.5
100,2024-06-12,0.0,5.5
101,2024-07-31,0.0,5.5
102,2024-09-18,-0.5,5.0
103,2024-11-07,-0.25,4.75
104,2024-12-18,-0.25,4.5
105,2025-01-29,0.0,4.5
